B, F1, F2, H, B, H1, H2, F, comm_cost, num_nodes, mem_cost
4,1,1,4,2,1,2,2,140509184.0,24,111149056.0
4,1,2,2,16,1,1,1,140509184.0,32,66060288.0
4,2,1,2,16,1,1,1,140509184.0,32,62914560.0
8,1,1,1,8,2,1,1,140509184.0,24,81788928.0
8,2,1,1,2,1,1,2,140509184.0,20,125829120.0
8,2,1,1,8,1,1,1,140509184.0,24,81788928.0
16,1,1,1,4,1,2,2,140509184.0,32,66060288.0
16,1,1,1,4,2,1,2,140509184.0,32,62914560.0
1,1,1,2,1,1,1,16,142606336.0,18,220463104.0
1,1,1,8,2,1,1,1,142606336.0,10,222822400.0
1,1,1,16,1,1,1,2,142606336.0,18,220463104.0
1,1,2,8,4,1,1,1,142606336.0,20,147062784.0
2,1,1,1,1,1,1,8,142606336.0,10,222822400.0
2,2,1,2,8,1,1,2,142606336.0,24,100663296.0
4,1,1,1,1,1,2,8,142606336.0,20,147062784.0
4,1,1,4,4,2,1,1,142606336.0,24,101711872.0
4,2,1,1,4,1,1,4,142606336.0,24,101711872.0
8,1,1,2,2,2,1,2,142606336.0,24,100663296.0
8,1,2,1,8,1,2,1,142606336.0,32,79691776.0
1,2,1,4,2,1,1,8,143654912.0,24,119013376.0
2,1,1,8,1,2,1,4,143654912.0,24,119013376.0
2,1,1,8,4,1,2,1,143654912.0,24,111673344.0
4,1,2,1,2,1,1,8,143654912.0,24,111673344.0
1,1,1,4,16,1,1,1,144703488.0,20,124780544.0
1,1,2,8,2,2,1,4,144703488.0,32,110362624.0
1,2,1,8,16,1,1,1,144703488.0,32,73924608.0
2,2,1,4,1,1,2,8,144703488.0,32,110362624.0
4,1,1,1,8,2,1,1,144703488.0,20,119537664.0
8,2,1,1,4,1,1,1,144703488.0,20,119537664.0
16,1,1,1,1,1,1,4,144703488.0,20,124780544.0
16,1,1,1,1,2,1,8,144703488.0,32,73924608.0
2,1,1,8,2,1,2,2,145752064.0,24,119013376.0
2,1,2,2,2,1,1,8,145752064.0,24,119013376.0
2,1,2,4,16,1,1,1,145752064.0,32,73924608.0
16,1,1,1,2,1,2,4,145752064.0,32,73924608.0
1,1,2,8,4,1,2,2,146800640.0,32,110362624.0
1,1,2,8,4,2,1,2,146800640.0,32,107216896.0
1,2,1,4,8,1,1,2,146800640.0,24,108003328.0
2,1,1,1,2,1,1,2,146800640.0,6,241172480.0
2,1,1,1,8,1,1,1,146800640.0,10,197132288.0
2,1,1,2,2,1,1,1,146800640.0,6,241172480.0
2,2,1,2,4,1,1,2,146800640.0,16,121634816.0
2,2,1,4,8,2,1,1,146800640.0,32,82837504.0
4,1,1,2,2,2,1,2,146800640.0,16,121634816.0
4,1,2,1,8,1,1,2,146800640.0,24,100663296.0
4,1,2,2,1,1,2,8,146800640.0,32,110362624.0
4,2,1,2,1,1,2,8,146800640.0,32,107216896.0
8,1,1,1,2,1,1,1,146800640.0,10,197132288.0
8,1,1,2,1,2,1,4,146800640.0,24,108003328.0
8,1,1,2,4,1,2,1,146800640.0,24,100663296.0
8,2,1,1,2,2,1,4,146800640.0,32,82837504.0
2,1,1,8,4,2,1,1,147849216.0,24,109576192.0
4,2,1,1,2,1,1,8,147849216.0,24,109576192.0
2,1,1,4,2,2,1,2,148897792.0,16,128974848.0
2,1,2,2,8,1,1,2,148897792.0,24,108003328.0
2,2,1,2,2,1,1,4,148897792.0,16,128974848.0
4,1,2,2,8,2,1,1,148897792.0,32,82837504.0
4,2,1,2,8,2,1,1,148897792.0,32,79691776.0
8,1,1,2,2,1,2,2,148897792.0,24,108003328.0
8,1,2,1,16,1,1,1,148897792.0,32,62914560.0
8,2,1,1,4,1,2,2,148897792.0,32,82837504.0
8,2,1,1,4,2,1,2,148897792.0,32,79691776.0
16,1,1,1,8,1,2,1,148897792.0,32,62914560.0
1,1,1,2,1,1,1,8,150994944.0,10,237502464.0
1,1,1,4,1,1,2,8,150994944.0,20,169082880.0
1,1,1,8,1,1,1,2,150994944.0,10,237502464.0
1,1,2,8,1,1,1,4,150994944.0,20,169082880.0
1,1,2,8,1,2,1,8,150994944.0,32,118226944.0
1,2,1,4,4,1,1,2,150994944.0,16,128974848.0
1,2,1,8,1,1,2,8,150994944.0,32,118226944.0
2,1,1,1,4,1,1,1,150994944.0,6,234881024.0
4,1,1,1,2,1,1,1,150994944.0,6,234881024.0
4,1,1,2,1,2,1,4,150994944.0,16,128974848.0
4,1,1,2,4,1,2,1,150994944.0,16,121634816.0
4,1,2,1,4,1,1,2,150994944.0,16,121634816.0
4,2,1,1,8,1,1,2,150994944.0,24,98566144.0
8,1,1,2,4,2,1,1,150994944.0,24,98566144.0
1,1,2,8,2,1,2,4,152043520.0,32,118226944.0
2,1,2,4,1,1,2,8,152043520.0,32,118226944.0
1,1,1,4,8,2,1,1,153092096.0,20,141557760.0
1,2,1,4,2,1,1,4,153092096.0,16,136314880.0
1,2,1,8,8,2,1,1,153092096.0,32,90701824.0
2,1,1,1,2,2,1,4,153092096.0,18,198180864.0
2,1,1,4,1,2,1,4,153092096.0,16,136314880.0
2,1,1,4,4,1,2,1,153092096.0,16,128974848.0
2,1,2,2,4,1,1,2,153092096.0,16,128974848.0
